Dataset name,Data Type,Task,Attribute type,No of instances,No of attributes,Year
Pittsburgh Bridges,Multivariate,Classification,"Categorical, Integer",108,12,1990
Drug Reviews (Druglib.com),"Multivariate, Text","Classification, Regression, Clustering",Integer,4143,8,2018
Shuttle Landing Control,Multivariate,Classification,Categorical,15,6,1988
Pedestrians in Traffic,"Multivariate, Sequential, Time-Series","Classification, Regression, Causal-Discovery",Real,4760,14,2019
South German Credit,Multivariate,"Classification, Regression, Clustering","Integer, Real",1000,21,2019
Australian Sign Language Signs (High Quality),"Multivariate, Time-Series",Classification,Real,2565,-,2002
Gas Turbine CO and NOx Emission Data Set,Multivariate,"Regression, Clustering",Real,36733,12,2019
Tennis Major Tournament Match Statistics,Multivariate,"Classification, Regression, Clustering","Integer, Real",127,42,2014
ImageNet,Image,Classification,-,14000000,-,2021
Hepatitis C Virus (HCV) for Egyptian patients,Multivariate,Classification,Real,1385,28,2019
Airfoil Self-Noise,Multivariate,Regression,Real,1503,5,2014
Connectionist Bench (Vowel Recognition - Deterding Data),-,Classification,Real,528,10,-
Paper Reviews,Text,"Classification, Regression",Integer,405,10,2017
Mice Protein Expression,Multivariate,"Classification, Clustering",Real,1080,80,2015
Skin Segmentation,Univariate,Classification,Real,245057,3,2012
Product Classification and Clustering,"Tabular, Text","Classification, Clustering, Other","Categorical, Integer",35311,7,2023
FMA: A Dataset For Music Analysis,"Multivariate, Time-Series","Classification, Clustering",Real,106574,-,2017
EMG Data for Gestures,Time-Series,Classification,Real,30000,-,2019
Dota2 Games Results,Multivariate,Classification,-,102944,115,2016
HTRU2,Multivariate,"Classification, Clustering",Real,17898,8,2017
Gas Sensor Array Drift at Different Concentrations,"Multivariate, Time-Series","Classification, Regression, Clustering, Causa",Real,13910,128,2013
OPPORTUNITY Activity Recognition,"Multivariate, Time-Series",Classification,Real,2551,-,2012
YouTube Spam Collection,Text,Classification,-,1956,3,2017
Physical Therapy Exercises,Time-Series,"Classification, Clustering, Other",-,268881,-,2022
Single Elder Home Monitoring: Gas and Position,Tabular,Classification,Real,444631,10,2023
Occupancy Detection,"Multivariate, Time-Series",Classification,Real,20560,6,2016
Travel Review Ratings,"Multivariate, Text","Classification, Clustering",Real,5456,24,2018
Power Consumption of Tetouan City,"Multivariate, Time-Series",Regression,"Real, Integer",52417,6,2023
Economic Sanctions,Domain-Theory,-,-,-,-,-
User Knowledge Modeling,Multivariate,"Classification, Clustering",Integer,403,5,2013
Parkinson's Speech with Multiple Types of Sound Recordings,Multivariate,"Classification, Regression","Integer, Real",1040,-,2014
Cervical Cancer Behavior Risk,"Multivariate, Univariate","Classification, Clustering",Integer,72,19,2019
Syskill and Webert Web Page Ratings,"Multivariate, Text",Classification,Categorical,332,5,1998
Diabetic Retinopathy Debrecen,Multivariate,Classification,"Integer, Real",1151,19,2014
Bone marrow transplant: children,Multivariate,"Classification, Regression","Integer, Real",187,36,2020
Palmer Penguins,Tabular,Classification,-,344,-,2021
Communities and Crime Unnormalized,Multivariate,Regression,Real,2215,125,2011
NATICUSdroid (Android Permissions),Tabular,Classification,-,29333,86,2022
Mobile Robots,Domain-Theory,-,"Categorical, Integer, Real",-,-,1995
Steel Industry Energy Consumption,Multivariate,Regression,"Real, Categorical",35040,9,2023
Audit Data,Multivariate,Classification,Real,777,-,2018
Residential Building,Multivariate,Regression,Real,372,-,2018
PhiUSIIL Phishing URL (Website),Tabular,Classification,"Real, Categorical, Integer",235795,54,2024
Amazon Commerce Reviews,"Multivariate, Text, Domain-Theory",Classification,Real,1500,10000,2011
Amazon Access Samples,"Time-Series, Domain-Theory","Regression, Clustering, Causal-Discovery",-,30000,20000,2011
Detect Malware Types,"Multivariate, Time-Series, Text",Classification,-,7107,280,2019
CIFAR-10,Image,Classification,-,60000,-,2021
Alcohol QCM Sensor,Multivariate,"Classification, Regression, Clustering",Real,125,8,2019
Toxicity,Tabular,Classification,-,171,1203,2022
Cuff-Less Blood Pressure Estimation,Multivariate,"Classification, Regression",Real,12000,-,2015
Concrete Slump Test,Multivariate,Regression,Real,103,-,2009
IPUMS Census Database,Multivariate,-,"Categorical, Integer",256932,-,1999
Turkish User Reviews,Text,Other,-,37056,-,2023
PPG-DaLiA,"Multivariate, Time-Series",Regression,Real,8300000,-,2019
UNIX User Data,"Text, Sequential",-,-,-,-,-
Facebook Comment Volume,Multivariate,Regression,"Integer, Real",40949,-,2016
Autistic Spectrum Disorder Screening Data for Children,Multivariate,Classification,Integer,292,20,2017
Sepsis Survival Minimal Clinical Records,Multivariate,Classification,Integer,110341,3,2023
Student Performance on an Entrance Examination,Multivariate,Classification,-,666,11,2018
